#   N           Simpson's               Milne                 GSL
#-----------------------------------
449001  2.191507164095e-14 7.9691169603453e-15 8.2035027532967e-15 
453001 1.9336827918485e-14 2.0508756883242e-14 8.2035027532967e-15 
457001  1.675858419602e-14 1.1602096751091e-14 8.2035027532967e-15 
461001 1.6055426817166e-14 1.1133325165188e-14 8.2035027532967e-15 
465001 1.3711568887653e-14  2.461050825989e-15 8.2035027532967e-15 
469001 6.4456093061617e-15 6.5628022026373e-15 8.2035027532967e-15 
473001 6.4456093061617e-15 1.2774025715848e-14 8.2035027532967e-15 
477001 1.7461741574874e-14 3.1524889151954e-14 8.2035027532967e-15 
481001 3.0470153083673e-15 2.9298224118917e-15 8.2035027532967e-15 
485001 7.8519240638697e-15  1.406314757708e-15 8.2035027532967e-15 
489001 2.1446300055047e-14  1.324279730175e-14 8.2035027532967e-15 
493001 8.3206956497723e-15 2.0508756883242e-14 8.2035027532967e-15 
497001 1.0430167786334e-14 7.8519240638697e-15 8.2035027532967e-15 
501001 6.7971879955887e-15  6.679995099113e-15 8.2035027532967e-15 
505001 2.4024543777512e-14 7.8519240638697e-15 8.2035027532967e-15 
509001 3.9845584801727e-15  1.324279730175e-14 8.2035027532967e-15 
513001  1.054736068281e-14 6.4456093061617e-15 8.2035027532967e-15 
517001 1.2891218612323e-14 6.7971879955887e-15 8.2035027532967e-15 
521001  5.273680341405e-15 7.2659595814913e-15 8.2035027532967e-15 
525001 3.5743833425078e-14  9.844203303956e-15 8.2035027532967e-15 
529001 5.8596448237833e-15 7.8519240638697e-15 8.2035027532967e-15 
533001 5.1564874449293e-15 1.9102442125534e-14 8.2035027532967e-15 
537001  2.894664542949e-14 6.5628022026373e-15 8.2035027532967e-15 
541001 1.9922792400863e-14 1.2422447026421e-14 8.2035027532967e-15 
545001 1.0664553579286e-14 3.1876467841381e-14 8.2035027532967e-15 
549001 5.3908732378807e-15 3.9845584801727e-15 8.2035027532967e-15 
553001 1.1953675440518e-14 2.9415417015392e-14 8.2035027532967e-15 
557001  3.164208204843e-14 2.4141736673987e-14 8.2035027532967e-15 
561001  9.844203303956e-15   7.03157378854e-15 8.2035027532967e-15 
565001 3.5392254735651e-14 1.1602096751091e-14 8.2035027532967e-15 
569001 5.8596448237833e-15 6.2112235132103e-15 8.2035027532967e-15 
573001 1.7344548678399e-14  8.086309856821e-15 8.2035027532967e-15 
577001 2.3321386398658e-14 3.0001381497771e-14 8.2035027532967e-15 
581001  5.976837720259e-15 3.7501726872213e-15 8.2035027532967e-15 
585001 2.3087000605706e-14 2.4141736673987e-14 8.2035027532967e-15 
589001 8.6722743391993e-15 2.4024543777512e-14 8.2035027532967e-15 
593001 1.9571213711436e-14 8.9066601321507e-15 8.2035027532967e-15 
597001 6.9143808920643e-15 9.7270104074803e-15 8.2035027532967e-15 
601001 2.3438579295133e-16 5.5080661343563e-15 8.2035027532967e-15 
605001   3.51578689427e-16 1.3359990198226e-14 8.2035027532967e-15 
609001 2.5899630121122e-14  8.789467235675e-15 8.2035027532967e-15 
613001 1.5235076541837e-15 1.6407005506593e-15 8.2035027532967e-15 
617001 1.6641391299545e-14 1.8047706057253e-14 8.2035027532967e-15 
621001  7.383152477967e-15 8.2035027532967e-16 8.2035027532967e-15 
625001 1.7344548678399e-14 7.2659595814913e-15 8.2035027532967e-15 
629001  1.488349785241e-14 4.6877158590267e-15 8.2035027532967e-15 
633001 2.1446300055047e-14 2.5782437224647e-15 8.2035027532967e-15 
637001 3.6446990803932e-14 1.4180340473556e-14 8.2035027532967e-15 
641001 4.6877158590267e-16 2.2266650330377e-15 8.2035027532967e-15 
645001 1.1016132268713e-14 2.2149457433901e-14 8.2035027532967e-15 
649001 1.9922792400863e-15 4.6877158590267e-15 8.2035027532967e-15 
653001  1.054736068281e-15 1.6172619713642e-14 8.2035027532967e-15 
657001 2.4493315363414e-14 1.5352269438312e-14 8.2035027532967e-15 
661001 2.6134015914074e-14 1.4297533370031e-14 8.2035027532967e-15 
665001 4.2775407213618e-14 4.4533300660753e-15 8.2035027532967e-15 
669001 2.3204193502182e-14  7.734731167394e-15 8.2035027532967e-15 
673001  2.812629515416e-14 6.7971879955887e-15 8.2035027532967e-15 
677001 1.6407005506593e-14 2.0039985297339e-14 8.2035027532967e-15 
681001 2.4258929570463e-14 2.9884188601295e-14 8.2035027532967e-15 
685001 5.5080661343563e-15 3.4220325770895e-14 8.2035027532967e-15 
