#                  N           Simpson's               Milne                 GSL
#-----------------------------------
     3.0004340774793    -7.6338506575709    -7.7950803480731    -11.292409825134 
     3.6990568545477     -9.381084377987    -9.5425007724832    -13.652345110871 
     3.9542907617011    -10.019259023975    -10.180663605529    -14.516125363853 
     4.1139767582898    -10.418507693623    -10.579924927495    -14.232128707488 
     4.2304744673612    -10.709783603554     -10.87130817225     -14.08600067181 
     4.3222399749312    -10.939040297889    -11.100638361793     -14.08600067181 
     4.3979573801039    -11.129016304067    -11.289942010055     -14.08600067181 
     4.4624129733126    -11.289446160799    -11.450746771246     -14.08600067181 
     4.5185271001173    -11.429272918552    -11.590535628491     -14.08600067181 
     4.5682134615971    -11.554813815627    -11.716016596811     -14.08600067181 
     4.6127944491389    -11.665220052261    -11.825520407772     -14.08600067181 
     4.6532221646566    -11.766775603256     -11.93036103805     -14.08600067181 
     4.6902049430908    -11.858224115013    -12.019302121387     -14.08600067181 
      4.724284063759    -11.945492628772      -12.1072334025     -14.08600067181 
     4.7558824748071    -12.025248885182    -12.181516976958     -14.08600067181 
     4.7853369545341    -12.090616224611    -12.255595327096     -14.08600067181 
      4.812920038045    -12.164091347874    -12.328062655574     -14.08600067181 
     4.8388553848146    -12.223443388293     -12.38877132905     -14.08600067181 
     4.8633288093192    -12.294610815471    -12.444384935842     -14.08600067181 
     4.8864963653239    -12.347446603282    -12.505075696134     -14.08600067181 
     4.9084903805058    -12.416949577349     -12.56654771647     -14.08600067181 
     4.9294240350311    -12.459074014124    -12.615548177402     -14.08600067181 
     4.9493948863308    -12.520152853136    -12.668647622094     -14.08600067181 
      4.968487618362    -12.557818818547    -12.746975357584     -14.08600067181 
     4.9867762115059     -12.58533301871     -12.77789381174     -14.08600067181 
     5.0043256737067    -12.659257105288     -12.80659448699     -14.08600067181 
     5.0211934351882    -12.668173242492    -12.847954568681     -14.08600067181 
     5.0374304822754    -12.713351638561    -12.898883008526     -14.08600067181 
     5.0530822867804    -12.762895964981     -12.90009443046     -14.08600067181 
     5.0681895736489    -12.754718019581    -12.960751835594     -14.08600067181 
     5.0827889595122     -12.83453627345    -12.983664989937     -14.08600067181 
       5.09691348735    -12.873432607914    -13.029095820473     -14.08600067181 
     5.1105930769101    -12.969203238156    -13.143638237306     -14.08600067181 
     5.1238549063269     -12.96308299783    -13.155852452084     -14.08600067181 
     5.1367237371776    -12.952005811186    -13.175986445429     -14.08600067181 
     5.1492221927472     -13.01728485944    -13.099869017957     -14.08600067181 
      5.161370997359    -12.998624947147    -13.204371502797     -14.08600067181 
     5.1731891831306    -13.050285119543    -13.368805847368     -14.08600067181 
     5.1846942693343    -13.122212844464    -13.430039449606     -14.08600067181 
     5.1959024186073    -13.128324986532    -13.302709781774     -14.08600067181 
     5.2068285735047    -13.172186819426    -13.212597022957     -14.08600067181 
     5.2174865762937    -13.164685864712    -13.221828750848     -14.08600067181 
     5.2278892743959    -13.118185355181    -13.369997328175     -14.08600067181 
     5.2380486134943    -13.180590316973    -13.529698171042     -14.08600067181 
      5.247975719996    -13.264580731269    -13.400899013621     -14.08600067181 
     5.2576809742796    -13.504587450459    -13.641064100462     -14.08600067181 
     5.2671740759344    -13.281763853112    -13.388273284865     -14.08600067181 
     5.2764641020216    -13.187588947096    -13.387030667474     -14.08600067181 
     5.2855595592324    -13.138007111647    -13.604762850895     -14.08600067181 
     5.2944684306965    -13.350173736148    -13.521165588493     -14.08600067181 
     5.3031982180842    -13.378430495712    -13.596644960673     -14.08600067181 
     5.3117559795603    -13.379648713851    -13.545492438226     -14.08600067181 
     5.3201483640701    -13.302709781774    -14.307849421426     -14.08600067181 
     5.3283816423752    -13.397072605768    -13.855551750432     -14.08600067181 
      5.336461735201     -13.46423109147    -13.797559803454     -14.08600067181 
     5.3443942388141    -13.529698171042    -13.797559803454     -14.08600067181 
     5.3521844483048    -13.632245635414    -13.423242840128     -14.08600067181 
     5.3598373788182    -13.408654478318     -13.63006871616     -14.08600067181 
     5.3673577849468    -13.465715860376    -14.215095368189     -14.08600067181 
     5.3747501784724    -13.400899013621    -14.044607986652     -14.08600067181 
     5.3820188446229    -14.138707022326    -14.387030667474     -14.08600067181 
     5.3891678569915    -13.337812644804    -13.522858746512     -14.08600067181 
     5.3962010912468    -13.561882854414    -13.569370875806     -14.08600067181 
     5.4031222377514     -13.52455853139    -13.619344850768     -14.08600067181 
     5.4099348131898    -13.834188698816    -13.893672213883     -14.08600067181 
     5.4166421712986     -14.60887941709    -13.613035376861     -14.08600067181 
     5.4232475127808    -13.423242840128    -15.232128707488     -14.08600067181 
      5.429753894477    -13.456882447748    -13.598660251908     -14.08600067181 
     5.4361642378601    -13.514458204486    -13.905792846559     -14.08600067181 
     5.4424813369117    -13.545492438226     -13.73244162487     -14.08600067181 
     5.4487078654343    -13.398344332832     -15.08600067181     -14.08600067181 
