0.00000000e+00   -0.00000000e+00   0.00000000e+00
5.00000000e-02   4.03709520e-02   4.75951587e-02
1.00000000e-01   8.00661588e-02   9.05478308e-02
1.50000000e-01   1.18439911e-01   1.29197641e-01
2.00000000e-01   1.54904639e-01   1.63862131e-01
2.50000000e-01   1.88955303e-01   1.94838101e-01
3.00000000e-01   2.20188562e-01   2.22402881e-01
3.50000000e-01   2.48315618e-01   2.46815525e-01
4.00000000e-01   2.73168079e-01   2.68317932e-01
4.50000000e-01   2.94696731e-01   2.87135901e-01
5.00000000e-01   3.12963576e-01   3.03480131e-01
5.50000000e-01   3.28127990e-01   3.17547153e-01
6.00000000e-01   3.40428234e-01   3.29520213e-01
6.50000000e-01   3.50159813e-01   3.39570100e-01
7.00000000e-01   3.57652367e-01   3.47855922e-01
7.50000000e-01   3.63246765e-01   3.54525845e-01
8.00000000e-01   3.67273968e-01   3.59717777e-01
8.50000000e-01   3.70037015e-01   3.63560017e-01
9.00000000e-01   3.71797146e-01   3.66171867e-01
9.50000000e-01   3.72764690e-01   3.67664202e-01
1.00000000e+00   3.73094957e-01   3.68140008e-01
1.05000000e+00   3.72888937e-01   3.67694888e-01
1.10000000e+00   3.72198272e-01   3.66417539e-01
1.15000000e+00   3.71033653e-01   3.64390197e-01
1.20000000e+00   3.69375596e-01   3.61689055e-01
1.25000000e+00   3.67186441e-01   3.58384658e-01
1.30000000e+00   3.64422419e-01   3.54542273e-01
1.35000000e+00   3.61044729e-01   3.50222236e-01
1.40000000e+00   3.57028724e-01   3.45480278e-01
1.45000000e+00   3.52370590e-01   3.40367827e-01
1.50000000e+00   3.47091116e-01   3.34932303e-01
1.55000000e+00   3.41236496e-01   3.29217377e-01
1.60000000e+00   3.34876343e-01   3.23263232e-01
1.65000000e+00   3.28099336e-01   3.17106795e-01
1.70000000e+00   3.21007111e-01   3.10781960e-01
1.75000000e+00   3.13707089e-01   3.04319796e-01
1.80000000e+00   3.06305021e-01   2.97748743e-01
1.85000000e+00   2.98897945e-01   2.91094792e-01
1.90000000e+00   2.91568199e-01   2.84381659e-01
1.95000000e+00   2.84378972e-01   2.77630944e-01
2.00000000e+00   2.77371702e-01   2.70862281e-01
2.05000000e+00   2.70565448e-01   2.64093476e-01
2.10000000e+00   2.63958171e-01   2.57340643e-01
2.15000000e+00   2.57529684e-01   2.50618325e-01
2.20000000e+00   2.51245913e-01   2.43939607e-01
2.25000000e+00   2.45064017e-01   2.37316226e-01
2.30000000e+00   2.38937848e-01   2.30758670e-01
2.35000000e+00   2.32823271e-01   2.24276272e-01
2.40000000e+00   2.26682875e-01   2.17877300e-01
2.45000000e+00   2.20489730e-01   2.11569034e-01
2.50000000e+00   2.14229908e-01   2.05357847e-01
2.55000000e+00   2.07903647e-01   1.99249275e-01
2.60000000e+00   2.01525146e-01   1.93248083e-01
2.65000000e+00   1.95121107e-01   1.87358325e-01
2.70000000e+00   1.88728224e-01   1.81583408e-01
2.75000000e+00   1.82389910e-01   1.75926137e-01
2.80000000e+00   1.76152596e-01   1.70388775e-01
2.85000000e+00   1.70061927e-01   1.64973081e-01
2.90000000e+00   1.64159204e-01   1.59680359e-01
2.95000000e+00   1.58478336e-01   1.54511494e-01
3.00000000e+00   1.53043532e-01   1.49466997e-01
3.05000000e+00   1.47867876e-01   1.44547029e-01
3.10000000e+00   1.42952846e-01   1.39751442e-01
3.15000000e+00   1.38288756e-01   1.35079808e-01
3.20000000e+00   1.33856033e-01   1.30531442e-01
3.25000000e+00   1.29627168e-01   1.26105432e-01
3.30000000e+00   1.25569162e-01   1.21800662e-01
3.35000000e+00   1.21646232e-01   1.17615834e-01
3.40000000e+00   1.17822561e-01   1.13549487e-01
3.45000000e+00   1.14064878e-01   1.09600019e-01
3.50000000e+00   1.10344697e-01   1.05765702e-01
3.55000000e+00   1.06640060e-01   1.02044697e-01
3.60000000e+00   1.02936688e-01   9.84350723e-02
3.65000000e+00   9.92285202e-02   9.49348141e-02
3.70000000e+00   9.55176129e-02   9.15418405e-02
3.75000000e+00   9.18134793e-02   8.82540124e-02
3.80000000e+00   8.81319395e-02   8.50691443e-02
3.85000000e+00   8.44936041e-02   8.19850136e-02
3.90000000e+00   8.09221209e-02   7.89993697e-02
3.95000000e+00   7.74423220e-02   7.61099420e-02
4.00000000e+00   7.40784044e-02   7.33144469e-02
4.05000000e+00   7.08522635e-02   7.06105949e-02
4.10000000e+00   6.77820772e-02   6.79960962e-02
4.15000000e+00   6.48812132e-02   6.54686666e-02
4.20000000e+00   6.21575064e-02   6.30260319e-02
4.25000000e+00   5.96129213e-02   6.06659330e-02
4.30000000e+00   5.72435917e-02   5.83861290e-02
4.35000000e+00   5.50402037e-02   5.61844016e-02
4.40000000e+00   5.29886711e-02   5.40585578e-02
4.45000000e+00   5.10710400e-02   5.20064327e-02
4.50000000e+00   4.92665478e-02   5.00258923e-02
4.55000000e+00   4.75527651e-02   4.81148352e-02
4.60000000e+00   4.59067454e-02   4.62711948e-02
4.65000000e+00   4.43061204e-02   4.44929407e-02
4.70000000e+00   4.27300830e-02   4.27780803e-02
4.75000000e+00   4.11602176e-02   4.11246599e-02
4.80000000e+00   3.95811454e-02   3.95307654e-02
4.85000000e+00   3.79809713e-02   3.79945233e-02
4.90000000e+00   3.63515271e-02   3.65141014e-02
4.95000000e+00   3.46884196e-02   3.50877090e-02
5.00000000e+00   3.29909021e-02   3.37135972e-02
5.05000000e+00   3.12615929e-02   3.23900593e-02
5.10000000e+00   2.95060726e-02   3.11154307e-02
