# omega0=1, alpha=2
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.981235089124122e-01 -3.991634729439678e-02
1.823856402664613e-01 4.929300906385006e-01 -7.291131018722892e-02
2.735784603996920e-01 4.850074684809104e-01 -9.991717112777845e-02
3.647712805329227e-01 4.748638122346458e-01 -1.217488294786781e-01
4.559641006661534e-01 4.629377918798233e-01 -1.391178579174298e-01
5.471569207993838e-01 4.496074097934901e-01 -1.526452260122717e-01
6.383497409326140e-01 4.351977343124037e-01 -1.628726747340720e-01
7.295425610658441e-01 4.199876560477300e-01 -1.702727855846277e-01
8.207353811990743e-01 4.042157824667949e-01 -1.752578265776898e-01
9.119282013323045e-01 3.880855776500247e-01 -1.781874792095698e-01
1.003121021465535e+00 3.717698441170564e-01 -1.793755601976454e-01
1.094313841598765e+00 3.554146331378207e-01 -1.790958528533426e-01
1.185506661731995e+00 3.391426596426699e-01 -1.775871584243538e-01
1.276699481865225e+00 3.230562881267121e-01 -1.750576698057857e-01
1.367892301998455e+00 3.072401470401948e-01 -1.716887602921836e-01
1.459085122131685e+00 2.917634211779800e-01 -1.676382696471183e-01
1.550277942264916e+00 2.766818645510333e-01 -1.630433594557417e-01
1.641470762398146e+00 2.620395701103890e-01 -1.580229999712044e-01
1.732663582531376e+00 2.478705274348366e-01 -1.526801417389752e-01
1.823856402664606e+00 2.341999950053730e-01 -1.471036173128600e-01
1.915049222797836e+00 2.210457098829464e-01 -1.413698113955193e-01
2.006242042931067e+00 2.084189543919821e-01 -1.355441317147439e-01
2.097434863064297e+00 1.963254967059748e-01 -1.296823078171097e-01
2.188627683197527e+00 1.847664199556500e-01 -1.238315406350616e-01
2.279820503330757e+00 1.737388525658428e-01 -1.180315220659371e-01
2.371013323463987e+00 1.632366109141740e-01 -1.123153407957397e-01
2.462206143597217e+00 1.532507640412268e-01 -1.067102881152935e-01
2.553398963730448e+00 1.437701289846563e-01 -1.012385754282985e-01
2.644591783863678e+00 1.347817043220916e-01 -9.591797346556100e-02
2.735784603996908e+00 1.262710486597422e-01 -9.076238183280681e-02
2.826977424130138e+00 1.182226100706636e-01 -8.578233637595922e-02
2.918170244263368e+00 1.106200118486594e-01 -8.098546090134187e-02
3.009363064396598e+00 1.034462993846161e-01 -7.637686900064500e-02
3.100555884529828e+00 9.668415247869029e-02 -7.195952107032023e-02
3.191748704663059e+00 9.031606696376622e-02 -6.773454105697124e-02
3.282941524796289e+00 8.432450912462930e-02 -6.370149698395788e-02
3.374134344929519e+00 7.869204604666930e-02 -5.985864890368806e-02
3.465327165062749e+00 7.340145471225389e-02 -5.620316756222776e-02
3.556519985195979e+00 6.843581237784842e-02 -5.273132674797628e-02
3.647712805329209e+00 6.377857050694938e-02 -4.943867201650617e-02
3.738905625462440e+00 5.941361430001896e-02 -4.632016823327482e-02
3.830098445595670e+00 5.532530965040822e-02 -4.337032815015647e-02
3.921291265728900e+00 5.149853916265985e-02 -4.058332402704683e-02
4.012484085862130e+00 4.791872869479884e-02 -3.795308412338556e-02
4.103676905995361e+00 4.457186572768707e-02 -3.547337571415492e-02
4.194869726128591e+00 4.144451072084505e-02 -3.313787612902665e-02
4.286062546261821e+00 3.852380248408502e-02 -3.094023317045847e-02
4.377255366395051e+00 3.579745847671953e-02 -2.887411613554515e-02
4.468448186528281e+00 3.325377083997089e-02 -2.693325854634397e-02
4.559641006661511e+00 3.088159887255441e-02 -2.511149358338773e-02
4.650833826794742e+00 2.867035857335594e-02 -2.340278311643214e-02
4.742026646927972e+00 2.661000979785132e-02 -2.180124113448995e-02
4.833219467061202e+00 2.469104150566069e-02 -2.030115229326642e-02
4.924412287194432e+00 2.290445551468421e-02 -1.889698622165644e-02
5.015605107327662e+00 2.124174912197129e-02 -1.758340815945131e-02
5.106797927460892e+00 1.969489690222291e-02 -1.635528643532464e-02
5.197990747594122e+00 1.825633195105126e-02 -1.520769723703544e-02
5.289183567727353e+00 1.691892680130262e-02 -1.413592707414502e-02
5.380376387860583e+00 1.567597420640567e-02 -1.313547328695627e-02
5.471569207993813e+00 1.452116795439847e-02 -1.220204291343906e-02
5.562762028127043e+00 1.344858384960615e-02 -1.133155018821488e-02
5.653954848260273e+00 1.245266097551704e-02 -1.052011291387382e-02
5.745147668393503e+00 1.152818333189915e-02 -9.764047914645260e-03
