# omega0=1, alpha=0.2
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
4.255968915617852e+01 -2.743570301325298e-01 1.883328525613800e-01
4.265088197631175e+01 -2.566382062977923e-01 2.001411569781542e-01
4.274207479644498e+01 -2.378781884111000e-01 2.111589777496299e-01
4.283326761657821e+01 -2.181514508904912e-01 2.213343994294606e-01
4.292446043671144e+01 -1.975370698882828e-01 2.306184981174945e-01
4.301565325684467e+01 -1.761184274839805e-01 2.389658461611101e-01
4.310684607697790e+01 -1.539828699824384e-01 2.463350116899064e-01
4.319803889711113e+01 -1.312213214267741e-01 2.526890389229897e-01
4.328923171724436e+01 -1.079278547260474e-01 2.579958951000731e-01
4.338042453737759e+01 -8.419922407035890e-02 2.622288703705612e-01
4.347161735751082e+01 -6.013436350823457e-02 2.653669180354122e-01
4.356281017764405e+01 -3.583385764110342e-02 2.673949241507465e-01
4.365400299777728e+01 -1.139939129917450e-02 2.683038976142794e-01
4.374519581791051e+01 1.306681423965540e-02 2.680910743801986e-01
4.383638863804374e+01 3.746257047378622e-02 2.667599322738640e-01
4.392758145817697e+01 6.168628814478642e-02 2.643201158740656e-01
4.401877427831020e+01 8.563753283687289e-02 2.607872739556369e-01
4.410996709844343e+01 1.092175619601298e-01 2.561828148949120e-01
4.420115991857666e+01 1.323298359848407e-01 2.505335880979752e-01
4.429235273870989e+01 1.548804976367152e-01 2.438715017959502e-01
4.438354555884312e+01 1.767788137926875e-01 2.362330893650735e-01
4.447473837897635e+01 1.979375759880240e-01 2.276590376029736e-01
4.456593119910958e+01 2.182734567065354e-01 2.181936910889837e-01
4.465712401924281e+01 2.377073199235993e-01 2.078845468700091e-01
4.474831683937605e+01 2.561644856542463e-01 1.967817532690564e-01
4.483950965950928e+01 2.735749494769671e-01 1.849376256617937e-01
4.493070247964251e+01 2.898735591150412e-01 1.724061906789076e-01
4.502189529977574e+01 3.050001511251308e-01 1.592427685545256e-01
4.511308811990897e+01 3.188996515399981e-01 1.455036013475243e-01
4.520428094004220e+01 3.315221449194847e-01 1.312455326089195e-01
4.529547376017543e+01 3.428229166710255e-01 1.165257418470537e-01
4.538666658030866e+01 3.527624737056629e-01 1.014015349375133e-01
4.547785940044189e+01 3.613065485027820e-01 8.593018951055689e-02
4.556905222057512e+01 3.684260914777668e-01 7.016885238688646e-02
4.566024504070835e+01 3.740972561976830e-01 5.417448437164030e-02
4.575143786084158e+01 3.783013814910049e-01 3.800384619301973e-02
