# omega0=1, alpha=4
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
1.158148815692023e+01 2.481560851620494e-02 -6.648452526760037e-03
1.167268097705346e+01 2.421666197550994e-02 -6.488026749432521e-03
1.176387379718669e+01 2.363216802125589e-02 -6.331469187716200e-03
1.185506661731992e+01 2.306177816078904e-02 -6.178686770137600e-03
1.194625943745315e+01 2.250515228704176e-02 -6.029588650461425e-03
1.203745225758638e+01 2.196195847799593e-02 -5.884086155486965e-03
1.212864507771961e+01 2.143187280085418e-02 -5.742092733998028e-03
1.221983789785284e+01 2.091457912081472e-02 -5.603523906846076e-03
1.231103071798607e+01 2.040976891434727e-02 -5.468297218146178e-03
1.240222353811930e+01 1.991714108686969e-02 -5.336332187565426e-03
1.249341635825254e+01 1.943640179472649e-02 -5.207550263683474e-03
1.258460917838577e+01 1.896726427137233e-02 -5.081874778404909e-03
1.267580199851900e+01 1.850944865766577e-02 -4.959230902403311e-03
1.276699481865223e+01 1.806268183617971e-02 -4.839545601576938e-03
1.285818763878546e+01 1.762669726943757e-02 -4.722747594496102e-03
1.294938045891869e+01 1.720123484198541e-02 -4.608767310822518e-03
1.304057327905192e+01 1.678604070621231e-02 -4.497536850681039e-03
1.313176609918515e+01 1.638086713183315e-02 -4.388989944964413e-03
1.322295891931838e+01 1.598547235894941e-02 -4.283061916551903e-03
1.331415173945161e+01 1.559962045460568e-02 -4.179689642422843e-03
1.340534455958484e+01 1.522308117276100e-02 -4.078811516646431e-03
1.349653737971807e+01 1.485562981759600e-02 -3.980367414229319e-03
1.358773019985130e+01 1.449704711007854e-02 -3.884298655802784e-03
1.367892301998453e+01 1.414711905771192e-02 -3.790547973131577e-03
1.377011584011776e+01 1.380563682739174e-02 -3.699059475426759e-03
1.386130866025099e+01 1.347239662129873e-02 -3.609778616445164e-03
1.395250148038422e+01 1.314719955575663e-02 -3.522652162358338e-03
1.404369430051745e+01 1.282985154298588e-02 -3.437628160374161e-03
1.413488712065068e+01 1.252016317568493e-02 -3.354655908094575e-03
1.422607994078391e+01 1.221794961437307e-02 -3.273685923593168e-03
1.431727276091714e+01 1.192303047742975e-02 -3.194669916196635e-03
1.440846558105037e+01 1.163522973376689e-02 -3.117560757954419e-03
1.449965840118360e+01 1.135437559807214e-02 -3.042312455781142e-03
1.459085122131683e+01 1.108030042856255e-02 -2.968880124256699e-03
1.468204404145006e+01 1.081284062718912e-02 -2.897219959069179e-03
1.477323686158329e+01 1.055183654223452e-02 -2.827289211086086e-03
1.486442968171652e+01 1.029713237324715e-02 -2.759046161039576e-03
1.495562250184975e+01 1.004857607825631e-02 -2.692450094811731e-03
1.504681532198298e+01 9.806019283214307e-03 -2.627461279306178e-03
1.513800814211621e+01 9.569317193612667e-03 -2.564040938892606e-03
1.522920096224944e+01 9.338328508220859e-03 -2.502151232411029e-03
1.532039378238267e+01 9.112915334896986e-03 -2.441755230722925e-03
1.541158660251590e+01 8.892943108421232e-03 -2.382816894796603e-03
1.550277942264913e+01 8.678280510303844e-03 -2.325301054314468e-03
1.559397224278236e+01 8.468799390520672e-03 -2.269173386790076e-03
1.568516506291559e+01 8.264374691130281e-03 -2.214400397183138e-03
1.577635788304882e+01 8.064884371727747e-03 -2.160949398000896e-03
1.586755070318205e+01 7.870209336691344e-03 -2.108788489874527e-03
1.595874352331528e+01 7.680233364179278e-03 -2.057886542599478e-03
1.604993634344851e+01 7.494843036834659e-03 -2.008213176628898e-03
1.614112916358174e+01 7.313927674157885e-03 -1.959738745009534e-03
1.623232198371497e+01 7.137379266506580e-03 -1.912434315749726e-03
1.632351480384820e+01 6.965092410684102e-03 -1.866271654609338e-03
1.641470762398143e+01 6.796964247078647e-03 -1.821223208301711e-03
1.650590044411466e+01 6.632894398315786e-03 -1.777262088097925e-03
1.659709326424789e+01 6.472784909388195e-03 -1.734362053823889e-03
1.668828608438112e+01 6.316540189227178e-03 -1.692497498240978e-03
1.677947890451435e+01 6.164066953681421e-03 -1.651643431801159e-03
1.687067172464758e+01 6.015274169869234e-03 -1.611775467767748e-03
1.696186454478081e+01 5.870073001871320e-03 -1.572869807693125e-03
1.705305736491404e+01 5.728376757731933e-03 -1.534903227244968e-03
1.714425018504727e+01 5.590100837736998e-03 -1.497853062372716e-03
1.723544300518050e+01 5.455162683938544e-03 -1.461697195806199e-03
1.732663582531373e+01 5.323481730895517e-03 -1.426414043878531e-03
1.741782864544696e+01 5.194979357601774e-03 -1.391982543665561e-03
1.750902146558019e+01 5.069578840572699e-03 -1.358382140434346e-03
1.760021428571342e+01 4.947205308062637e-03 -1.325592775393285e-03
1.769140710584665e+01 4.827785695385929e-03 -1.293594873736730e-03
1.778259992597988e+01 4.711248701315048e-03 -1.262369332977045e-03
1.787379274611311e+01 4.597524745529914e-03 -1.231897511557267e-03
1.796498556624634e+01 4.486545927093123e-03 -1.202161217737650e-03
1.805617838637957e+01 4.378245983926384e-03 -1.173142698749578e-03
1.814737120651280e+01 4.272560253264119e-03 -1.144824630210427e-03
1.823856402664603e+01 4.169425633060668e-03 -1.117190105793164e-03
1.832975684677927e+01 4.068780544328187e-03 -1.090222627144570e-03
1.842094966691250e+01 3.970564894382811e-03 -1.063906094046151e-03
1.851214248704573e+01 3.874720040977234e-03 -1.038224794811914e-03
1.860333530717896e+01 3.781188757298352e-03 -1.013163396917347e-03
1.869452812731219e+01 3.689915197809149e-03 -9.887069378540635e-04
1.878572094744542e+01 3.600844864914491e-03 -9.648408162046825e-04
1.887691376757865e+01 3.513924576430983e-03 -9.415507829326960e-04
1.896810658771188e+01 3.429102433841520e-03 -9.188229328821400e-04
1.905929940784511e+01 3.346327791315639e-03 -8.966436964820514e-04
1.915049222797834e+01 3.265551225477211e-03 -8.749998316507899e-04
1.924168504811157e+01 3.186724505901466e-03 -8.538784158954290e-04
1.933287786824480e+01 3.109800566323787e-03 -8.332668386015315e-04
1.942407068837803e+01 3.034733476543112e-03 -8.131527935087375e-04
1.951526350851126e+01 2.961478415003207e-03 -7.935242713677014e-04
1.960645632864449e+01 2.889991642035468e-03 -7.743695527740198e-04
1.969764914877772e+01 2.820230473747313e-03 -7.556772011748960e-04
1.978884196891095e+01 2.752153256540596e-03 -7.374360560443899e-04
1.988003478904418e+01 2.685719342244854e-03 -7.196352262231974e-04
