# omega0=1, alpha=0
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.980077296952180e-01 -4.366699000774713e-02
1.823856402664613e-01 4.920454654612962e-01 -8.701497093202322e-02
2.735784603996920e-01 4.821568345247508e-01 -1.297252270895017e-01
3.647712805329227e-01 4.684144994957485e-01 -1.714797761864837e-01
4.559641006661534e-01 4.509200611162043e-01 -2.119620934213944e-01
5.471569207993838e-01 4.298038773895362e-01 -2.508582392201024e-01
6.383497409326140e-01 4.052247578136671e-01 -2.878584835151493e-01
7.295425610658441e-01 3.773694844841528e-01 -3.226594849457725e-01
8.207353811990743e-01 3.464521083471715e-01 -3.549670420919542e-01
9.119282013323045e-01 3.127129693965628e-01 -3.844993877323146e-01
1.003121021465535e+00 2.764173944540781e-01 -4.109909487678751e-01
1.094313841598765e+00 2.378540354015244e-01 -4.341964472600808e-01
1.185506661731995e+00 1.973328240655847e-01 -4.538951759388204e-01
1.276699481865225e+00 1.551825367353019e-01 -4.698952487194842e-01
1.367892301998455e+00 1.117479804898760e-01 -4.820376071468192e-01
1.459085122131685e+00 6.738683377755444e-02 -4.901995603546914e-01
1.550277942264916e+00 2.246619343841507e-02 -4.942976508147967e-01
1.641470762398146e+00 -2.264110204868936e-02 -4.942896707554182e-01
1.732663582531376e+00 -6.756028944609532e-02 -4.901757025653254e-01
1.823856402664606e+00 -1.119185452392015e-01 -4.819981167494510e-01
1.915049222797836e+00 -1.553488021475800e-01 -4.698405275675805e-01
2.006242042931067e+00 -1.974934251638779e-01 -4.538257730393369e-01
2.097434863064297e+00 -2.380076635164449e-01 -4.341130462142909e-01
2.188627683197527e+00 -2.765628088374149e-01 -4.108943529852224e-01
2.279820503330757e+00 -3.128490074169606e-01 -3.843905042638057e-01
2.371013323463987e+00 -3.465776941816500e-01 -3.548468649509321e-01
2.462206143597217e+00 -3.774836362967679e-01 -3.225290787376386e-01
2.553398963730448e+00 -4.053265934831777e-01 -2.877189680934183e-01
2.644591783863678e+00 -4.298926189068825e-01 -2.507107759380799e-01
2.735784603996908e+00 -4.509950378166476e-01 -2.118078733728231e-01
2.826977424130138e+00 -4.684751503178583e-01 -1.713200106407260e-01
2.918170244263368e+00 -4.822027094986619e-01 -1.295611401415999e-01
3.009363064396598e+00 -4.920762266225704e-01 -8.684779421701981e-02
3.100555884529828e+00 -4.980231515999632e-01 -4.349795918066671e-02
3.191748704663059e+00 -4.999999699839997e-01 1.696474362567202e-04
3.282941524796289e+00 -4.979922479775469e-01 4.383601603114618e-02
3.374134344929519e+00 -4.920146451440762e-01 8.718213804390246e-02
3.465327165062749e+00 -4.821109014891237e-01 1.298892996455262e-01
3.556519985195979e+00 -4.683537921419768e-01 1.716395225730523e-01
3.647712805329209e+00 -4.508450298473060e-01 2.121162895817688e-01
3.738905625462440e+00 -4.297150836955509e-01 2.510056739476063e-01
3.830098445595670e+00 -4.051228727807967e-01 2.879979658115160e-01
3.921291265728900e+00 -3.772552865323872e-01 3.227898535946332e-01
4.012484085862130e+00 -3.463264799939881e-01 3.550871774264296e-01
4.103676905995361e+00 -3.125768928545811e-01 3.846082253904076e-01
4.194869726128591e+00 -2.762719458979616e-01 4.110874950416060e-01
4.286062546261821e+00 -2.377003777835273e-01 4.342797954684346e-01
4.377255366395051e+00 -1.971721984181306e-01 4.539645231066211e-01
4.468448186528281e+00 -1.550162519695840e-01 4.699499117403312e-01
4.559641006661511e+00 -1.115774017770005e-01 4.820770375621938e-01
4.650833826794742e+00 -6.721336967744201e-02 4.902233569029344e-01
4.742026646927972e+00 -2.229128201516986e-02 4.943055689962511e-01
4.833219467061202e+00 2.281600782429918e-02 4.942816288193915e-01
4.924412287194432e+00 6.773373666160951e-02 4.901517835386320e-01
5.015605107327662e+00 1.120890960039930e-01 4.819585663763111e-01
5.106797927460892e+00 1.555150481861265e-01 4.697857482931185e-01
5.197990747594122e+00 1.976540016936151e-01 4.537563144187487e-01
5.289183567727353e+00 2.381612621099758e-01 4.340295923434919e-01
5.380376387860583e+00 2.767081890309028e-01 4.107977077076702e-01
5.471569207993813e+00 3.129850069000873e-01 3.842815750002354e-01
5.562762028127043e+00 3.467032374832323e-01 3.547266460197916e-01
5.653954848260273e+00 3.775977419576269e-01 3.223986349874910e-01
5.745147668393503e+00 4.054283797783764e-01 2.875794195641932e-01
5.836340488526734e+00 4.299813082383414e-01 2.505632841198299e-01
5.927533308659964e+00 4.510699599411236e-01 2.116536294546101e-01
6.018726128793194e+00 4.685357446025497e-01 1.711602259544754e-01
6.109918948926424e+00 4.822485264068655e-01 1.293970388205662e-01
6.201111769059654e+00 4.921069286256746e-01 8.668060791762196e-02
6.292304589192884e+00 4.980385136913226e-01 4.332892356857512e-02
6.383497409326115e+00 4.999998799372966e-01 -3.392948539338008e-04
6.474690229459345e+00 4.979767064499077e-01 -4.400503723239217e-02
6.565883049592575e+00 4.919837656755179e-01 -8.734929553430626e-02
6.657075869725805e+00 4.820649103980261e-01 -1.300533577914676e-01
6.748268689859035e+00 4.682930282644122e-01 -1.717992497824164e-01
6.839461509992265e+00 4.507699440194253e-01 -2.122704618361925e-01
6.930654330125495e+00 4.296262378359751e-01 -2.511530801032017e-01
7.021847150258726e+00 4.050209383971521e-01 -2.881374149656276e-01
7.113039970391956e+00 3.771410424555433e-01 -3.229201846679977e-01
7.204232790525186e+00 3.462008091375899e-01 -3.552072709390009e-01
7.295425610658416e+00 3.124407778078355e-01 -3.847170172238157e-01
7.386618430791646e+00 2.761264631871080e-01 -4.111839917934729e-01
7.477811250924876e+00 2.375466906815888e-01 -4.343630908279792e-01
7.569004071058107e+00 1.970115482415917e-01 -4.540338145331700e-01
7.660196891191337e+00 1.548499478712722e-01 -4.700045166225725e-01
7.751389711324567e+00 1.114068091220002e-01 -4.821164079902273e-01
7.842582531457797e+00 6.703989716755844e-02 -4.902470922070455e-01
7.933775351591027e+00 2.211636780091518e-02 -4.943134252991949e-01
8.024968171724257e+00 -2.299091074334122e-02 -4.942735250085776e-01
8.116160991857488e+00 -6.790717540247056e-02 -4.901278032788842e-01
8.207353811990718e+00 -1.122596327631133e-01 -4.819189560339893e-01
8.298546632123948e+00 -1.556812748304957e-01 -4.697309109048572e-01
8.389739452257178e+00 -1.978145536352286e-01 -4.536868000877926e-01
8.480932272390408e+00 -2.383148311635947e-01 -4.339460856601741e-01
8.572125092523638e+00 -2.768535350172113e-01 -4.107010129492182e-01
8.663317912656868e+00 -3.131209678299278e-01 -3.841725999568625e-01
8.754510732790099e+00 -3.468287382373209e-01 -3.546063853148061e-01
8.845703552923329e+00 -3.777118014536295e-01 -3.222681537123880e-01
8.936896373056559e+00 -4.055301166877213e-01 -2.874398379451142e-01
9.028089193189789e+00 -4.300699453739727e-01 -2.504157637834016e-01
9.119282013323019e+00 -4.511448274813240e-01 -2.114993616850745e-01
9.210474833456249e+00 -4.685962823431647e-01 -1.710004221462159e-01
9.301667653589480e+00 -4.822942852443651e-01 -1.292329231449756e-01
9.392860473722710e+00 -4.921375714672797e-01 -8.651341205244917e-02
9.484053293855940e+00 -4.980538159676366e-01 -4.315988319010974e-02
9.575246113989170e+00 -4.999997298599013e-01 5.089422343894229e-04
9.666438934122400e+00 -4.979611051140106e-01 4.417405359285093e-02
9.757631754255630e+00 -4.919528270590299e-01 8.751644338462751e-02
9.848824574388860e+00 -4.820188612565610e-01 1.302174015087779e-01
9.940017394522091e+00 -4.682322078698446e-01 1.719589577961398e-01
1.003121021465532e+01 -4.506948036410250e-01 2.124246101664204e-01
1.012240303478855e+01 -4.295373398209223e-01 2.513004576689454e-01
1.021359585492178e+01 -4.049189546744644e-01 2.882768309599874e-01
1.030478867505501e+01 -3.770267522669204e-01 3.230504781489928e-01
1.039598149518824e+01 -3.460750957927783e-01 3.553273226136264e-01
1.048717431532147e+01 -3.123046242725440e-01 3.848257632175604e-01
1.057836713545470e+01 -2.759809463390431e-01 4.112804390098079e-01
