# omega0=1, alpha=0.25
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
8.572125092523638e+00 -7.694492657953549e-02 -1.424156769745776e-01
8.663317912656868e+00 -8.945056415639434e-02 -1.317036305594949e-01
8.754510732790099e+00 -1.009403500336494e-01 -1.201552271319020e-01
8.845703552923329e+00 -1.113432041798746e-01 -1.078848968004264e-01
8.936896373056559e+00 -1.205986323136319e-01 -9.501018865170727e-02
9.028089193189789e+00 -1.286569607197340e-01 -8.165068716278669e-02
9.119282013323019e+00 -1.354794736264413e-01 -6.792696036041179e-02
9.210474833456249e+00 -1.410384564295262e-01 -5.395954790393916e-02
9.301667653589480e+00 -1.453171486890154e-01 -3.986799497849117e-02
9.392860473722710e+00 -1.483096112655302e-01 -2.576993583561253e-02
9.484053293855940e+00 -1.500205122323617e-01 -1.178022911243990e-02
9.575246113989170e+00 -1.504648363313705e-01 1.989854235807633e-03
9.666438934122400e+00 -1.496675227745203e-01 1.543339041121785e-02
9.757631754255630e+00 -1.476630361685286e-01 2.844851009846725e-02
9.848824574388860e+00 -1.444948752959739e-01 4.093905410415329e-02
9.940017394522091e+00 -1.402150244559167e-01 5.281517746059945e-02
1.003121021465532e+01 -1.348833520776490e-01 6.399390157757846e-02
1.012240303478855e+01 -1.285669613914074e-01 7.439961330057090e-02
1.021359585492178e+01 -1.213394980795680e-01 8.396450895230721e-02
1.030478867505501e+01 -1.132804200416490e-01 9.262898069443556e-02
1.039598149518824e+01 -1.044742346783168e-01 1.003419419387242e-01
1.048717431532147e+01 -9.500970941787089e-02 1.070610881383918e-01
1.057836713545470e+01 -8.497906155155231e-02 1.127530891570346e-01
1.066955995558793e+01 -7.447713378551880e-02 1.173937095798966e-01
1.076075277572116e+01 -6.360056222937295e-02 1.209678538105599e-01
1.085194559585439e+01 -5.244694379578992e-02 1.234695335721593e-01
1.094313841598762e+01 -4.111401015738836e-02 1.249017564702831e-01
1.103433123612085e+01 -2.969881547398552e-02 1.252763355202021e-01
1.112552405625408e+01 -1.829694504992025e-02 1.246136209249794e-01
1.121671687638731e+01 -7.001751898088172e-03 1.229421568356184e-01
1.130790969652054e+01 4.096372127145523e-03 1.202982672491978e-01
1.139910251665377e+01 1.491068440653862e-02 1.167255765287260e-01
1.149029533678700e+01 2.535873317501701e-02 1.122744711908244e-01
1.158148815692023e+01 3.536294766699211e-02 1.070015105492818e-01
1.167268097705346e+01 4.485117249696111e-02 1.009687944856264e-01
1.176387379718669e+01 5.375714275925526e-02 9.424329702219857e-02
1.185506661731992e+01 6.202089712969953e-02 8.689617449750114e-02
1.194625943745315e+01 6.958912704996760e-02 7.900205700408935e-02
1.203745225758638e+01 7.641546084982068e-02 7.063833137715363e-02
1.212864507771961e+01 8.246068239387844e-02 6.188442346009124e-02
1.221983789785284e+01 8.769288451303825e-02 5.282108667219335e-02
1.231103071798607e+01 9.208755808587539e-02 4.352970311692831e-02
1.240222353811930e+01 9.562761816697078e-02 3.409160265030736e-02
1.249341635825254e+01 9.830336901644252e-02 2.458740452624894e-02
1.258460917838577e+01 1.001124102714548e-01 1.509638549112071e-02
1.267580199851900e+01 1.010594868229473e-01 5.695877544587450e-03
1.276699481865223e+01 1.011562852284928e-01 -3.539301960480450e-03
1.285818763878546e+01 1.004211797156681e-01 -1.253738563028689e-02
1.294938045891869e+01 9.887893102061875e-02 -2.123015481066272e-02
1.304057327905192e+01 9.656034147404075e-02 -2.955340008863149e-02
1.313176609918515e+01 9.350186990065006e-02 -3.744734187528688e-02
1.322295891931838e+01 8.974521004537132e-02 -4.485700947380379e-02
