#  N   trapezoid     Simpsons     3/8      Gauss  
#-----------------------------------------
2.636488e+00  -6.759172e+00  -6.963499e+00  -7.097897e+00  -6.407105e+00
2.642465e+00  -7.097897e+00  -5.791167e+00  -6.963499e+00  -6.313417e+00
2.648360e+00  -6.258624e+00  -7.097897e+00  -6.190052e+00  -7.839390e+00
2.654177e+00  -6.130844e+00  -6.692373e+00  -6.759172e+00  -6.759172e+00
2.659916e+00  -6.258624e+00  -6.571210e+00  -6.692373e+00  -7.097897e+00
2.665581e+00  -7.097897e+00  -7.097897e+00  -6.963499e+00  -6.340092e+00
2.671173e+00  -6.190052e+00  -6.440455e+00  -6.526726e+00  -6.440455e+00
2.676694e+00  -7.097897e+00  -6.692373e+00  -7.097897e+00  -6.526726e+00
2.682145e+00  -6.571210e+00  -6.759172e+00  -6.340092e+00  -6.963499e+00
2.687529e+00  -7.839390e+00  -5.906478e+00  -6.190052e+00  -7.839390e+00
2.692847e+00  -6.759172e+00  -7.097897e+00  -6.571210e+00  -6.692373e+00
2.698101e+00  -7.097897e+00  -6.313417e+00  -6.571210e+00  -6.571210e+00
2.703291e+00  -6.440455e+00  -6.407105e+00  -6.313417e+00  -6.340092e+00
2.708421e+00  -6.759172e+00  -6.407105e+00  -6.440455e+00  -6.759172e+00
2.713491e+00  -7.097897e+00  -7.839390e+00  -6.190052e+00  -6.258624e+00
2.718502e+00  -6.440455e+00  -6.190052e+00  -7.839390e+00  -6.692373e+00
2.723456e+00  -7.839390e+00  -6.236397e+00  -6.759172e+00  -6.526726e+00
2.728354e+00  -7.097897e+00  -7.097897e+00  -6.236397e+00  -6.340092e+00
2.733197e+00  -6.440455e+00  -6.440455e+00  -6.526726e+00  -6.692373e+00
2.737987e+00  -6.963499e+00  -7.839390e+00  -6.526726e+00  -6.526726e+00
2.742725e+00  -6.130844e+00  -7.097897e+00  -7.097897e+00  -6.526726e+00
2.747412e+00  -6.190052e+00  -7.839390e+00  -6.759172e+00  -7.097897e+00
2.752048e+00  -6.759172e+00  -7.097897e+00  -6.963499e+00  -6.963499e+00
2.756636e+00  -6.571210e+00  -6.407105e+00  -6.963499e+00  -6.571210e+00
2.761176e+00  -6.571210e+00  -6.571210e+00  -6.526726e+00  -5.990230e+00
2.765669e+00  -6.692373e+00  -6.032238e+00  -6.063932e+00  -6.407105e+00
2.770115e+00  -6.526726e+00  -6.018904e+00  -6.963499e+00  -6.692373e+00
2.774517e+00  -6.692373e+00  -7.839390e+00  -6.526726e+00  -7.097897e+00
2.778874e+00  -6.407105e+00  -6.340092e+00  -6.526726e+00  -6.340092e+00
2.783189e+00  -6.440455e+00  -6.236397e+00  -5.990230e+00  -6.236397e+00
2.787460e+00  -6.190052e+00  -6.340092e+00  -6.236397e+00  -6.526726e+00
2.791691e+00  -6.571210e+00  -6.963499e+00  -6.526726e+00  -6.692373e+00
2.795880e+00  -6.190052e+00  -6.526726e+00  -6.258624e+00  -6.759172e+00
2.800029e+00  -6.313417e+00  -6.692373e+00  -6.692373e+00  -6.759172e+00
2.804139e+00  -6.190052e+00  -6.526726e+00  -6.130844e+00  -6.526726e+00
2.808211e+00  -6.078749e+00  -6.114175e+00  -6.078749e+00  -6.963499e+00
2.812245e+00  -5.990230e+00  -6.759172e+00  -6.313417e+00  -6.571210e+00
2.816241e+00  -6.759172e+00  -6.190052e+00  -6.759172e+00  -6.190052e+00
2.820201e+00  -6.130844e+00  -6.440455e+00  -6.407105e+00  -6.571210e+00
2.824126e+00  -6.692373e+00  -6.571210e+00  -6.407105e+00  -6.407105e+00
2.828015e+00  -7.097897e+00  -6.063932e+00  -6.963499e+00  -7.097897e+00
2.831870e+00  -7.839390e+00  -6.759172e+00  -6.313417e+00  -6.692373e+00
2.835691e+00  -6.692373e+00  -6.963499e+00  -6.526726e+00  -6.171001e+00
2.839478e+00  -6.236397e+00  -6.313417e+00  -6.759172e+00  -7.839390e+00
2.843233e+00  -7.839390e+00  -6.759172e+00  -7.839390e+00  -7.097897e+00
2.846955e+00  -6.440455e+00  -7.097897e+00  -6.114175e+00  -7.839390e+00
