# 3D harmonic oscillator
# eigenvalue = 1.498467e+00

#   r       u(r)
0.140000 4.665108e-02
0.280000 9.193650e-02
0.420000 1.345571e-01
0.560000 1.733420e-01
0.700000 2.073023e-01
0.840000 2.356718e-01
0.980000 2.579345e-01
1.120000 2.738355e-01
1.260000 2.833771e-01
1.400000 2.868004e-01
1.540000 2.845548e-01
1.680000 2.772586e-01
1.820000 2.656537e-01
1.960000 2.505584e-01
2.100000 2.328207e-01
2.240000 2.132760e-01
2.380000 1.927111e-01
2.520000 1.718351e-01
2.660000 1.512593e-01
2.800000 1.314852e-01
2.940000 1.129006e-01
3.080000 9.578180e-02
3.220000 8.030217e-02
3.360000 6.654384e-02
3.500000 5.451225e-02
3.640000 4.415175e-02
3.780000 3.536097e-02
3.920000 2.800738e-02
4.060000 2.194003e-02
4.200000 1.700040e-02
4.340000 1.303092e-02
4.480000 9.881394e-03
4.620000 7.413440e-03
4.760000 5.503108e-03
4.900000 4.042117e-03
5.040000 2.937961e-03
5.180000 2.113198e-03
5.320000 1.504212e-03
5.460000 1.059654e-03
5.600000 7.387640e-04
5.740000 5.096985e-04
5.880000 3.479506e-04
6.020000 2.349312e-04
6.160000 1.567306e-04
6.300000 1.030682e-04
6.440000 6.642356e-05
6.580000 4.132668e-05
6.720000 2.378359e-05
6.860000 1.080472e-05
