# m=1, k=39.4784, p=2
# x0=2, v0=5
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.7300  -9.768567966560472e-01  1.314525002713134e+01  8.639879913789829e+01  1.883612423126834e+01
0.7400  -8.439684197177277e-01  1.342254425649587e+01  9.008234715879509e+01  1.405989681279653e+01
0.7500  -7.086032203883552e-01  1.364065660092472e+01  9.303375625217556e+01  9.911422387587152e+00
0.7600  -5.713512257418064e-01  1.379999764139366e+01  9.521996745123528e+01  6.443711204736823e+00
0.7700  -4.327968246585709e-01  1.390128092232396e+01  9.662280564068401e+01  3.697412223208014e+00
0.7800  -2.935158471089792e-01  1.394550082830770e+01  9.723849667616538e+01  1.700563483510325e+00
0.7900  -1.540728742422881e-01  1.393390860871524e+01  9.707690455801439e+01  4.685782325851285e-01
0.8000  -1.501879590043623e-02  1.386798693319301e+01  9.616053078960604e+01  4.452459440173902e-03
0.8100  1.231113717213251e-01  1.374942337340734e+01  9.452332155060004e+01  2.991755386634284e-01
0.8200  2.598003995358751e-01  1.358008321293529e+01  9.220933003512337e+01  1.332322524720221e+00
0.8300  3.945504854440078e-01  1.336198198788726e+01  8.927128132231184e+01  3.072804323202841e+00
0.8400  5.268846199337427e-01  1.309725815569455e+01  8.576908559845371e+01  5.479750487374375e+00
0.8500  6.563476806249920e-01  1.278814627861691e+01  8.176834262165177e+01  8.503498723080391e+00
0.8600  7.825072627734216e-01  1.243695109211383e+01  7.733887623381567e+01  1.208666528126289e+01
0.8700  9.049542563446553e-01  1.204602280654890e+01  7.255333272794809e+01  1.616527120265712e+01
0.8800  1.023303183625657e+00  1.161773396410759e+01  6.748587123038952e+01  2.066990076457905e+01
0.8900  1.137192314407050e+00  1.115445814172145e+01  6.221096821770801e+01  2.552687036328872e+01
0.9000  1.246283578505667e+00  1.065855075568826e+01  5.680235210579141e+01  3.065938833750193e+01
0.9100  1.350262297763287e+00  1.013233218509631e+01  5.133207775456926e+01  3.598868878588883e+01
0.9200  1.448836761623382e+00  9.578073389689948e+00  4.586974492914334e+01  4.143512514108043e+01
0.9300  1.541737671927024e+00  8.997984154080903e+00  4.048185941854552e+01  4.691921202637297e+01
0.9400  1.628717483662528e+00  8.394204044876036e+00  3.523133077350660e+01  5.236260663815498e+01
0.9500  1.709549669038333e+00  7.768796121038934e+00  3.017709658513480e+01  5.768902347658447e+01
0.9600  1.784027932419284e+00  7.123743391323591e+00  2.537385995271326e+01  6.282507861114819e+01
0.9700  1.851965403374154e+00  6.460947966609371e+00  2.087192431361688e+01  6.770106175233501e+01
0.9800  1.913193834335014e+00  5.782232810114677e+00  1.671710813518334e+01  7.225163615652882e+01
0.9900  1.967562828181930e+00  5.089345945441464e+00  1.295072107619073e+01  7.641646778444508e+01
